date,prompt_version,episode_index,step_index,topology_name,load_regime,qot_pressure_regime,services_processed,winner_heuristic,winner_proposed_by,winner_raw_action,winner_decoded_path_nodes,winner_modulation_name,winner_initial_slot,winner_slot_end_exclusive,winner_path_hops,winner_path_length_km,judge_called,winner_confidence,decisive_signals_summary,agrees_with_baseline,fallback_reason,judge_error_message,post_status,post_accepted,post_reward,episode_service_blocking_rate,episode_bit_rate_blocking_rate,episode_disrupted_services_rate
21-03,v2_blocking_risk_compact_payload,0,47,Nobel Europe backbone,light,guarded,47,first_fit,first_fit,377,Budapest->Prague->Vienna->Munich->Milan->Zurich->Lyon,QPSK,57,59,6,2017.2459999999999,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,0.9863258103529612,0.020833333333333332,0.052083333333333336,0.0
21-03,v2_blocking_risk_compact_payload,0,48,Nobel Europe backbone,light,guarded,48,first_fit,first_fit,377,Belgrade->Zagreb->Rome->Milan,QPSK,57,73,3,1387.5410000000002,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.0376046516622106,0.02040816326530612,0.04950495049504951,0.0
21-03,v2_blocking_risk_compact_payload,0,49,Nobel Europe backbone,light,guarded,49,random,random,1441,Berlin->Munich->Milan->Rome,QPSK,161,165,3,1333.556,True,0.85,qot_safety:random(high) | fragmentation:first_fit(medium),True,none,,accepted,True,1.015401822721275,0.02,0.0488997555012225,0.0
21-03,v2_blocking_risk_compact_payload,0,50,Nobel Europe backbone,light,guarded,50,first_fit,first_fit,337,Dublin->London->Amsterdam->Brussels->Frankfurt->Munich,QPSK,17,21,5,1597.375,True,0.85,qot_safety:first_fit(high) | load_balance:load_balancing(medium),False,none,,accepted,True,1.0126920262972514,0.0196078431372549,0.04830917874396135,0.0
21-03,v2_blocking_risk_compact_payload,0,51,Nobel Europe backbone,light,guarded,51,load_balancing,load_balancing,1920,Hamburg->Frankfurt->Strasbourg->Paris,8QAM,0,3,3,970.094,True,0.6,qot_safety:first_fit(high) | fragmentation:load_balancing(high),False,none,,accepted,True,0.9839658439159394,0.019230769230769232,0.0477326968973747,0.0
21-03,v2_blocking_risk_compact_payload,0,52,Nobel Europe backbone,light,guarded,52,load_balancing,load_balancing,3204,Brussels->Frankfurt->Hamburg->Amsterdam->London,QPSK,4,6,4,1401.1080000000002,True,0.85,qot_safety:load_balancing(high) | fragmentation:first_fit(medium),True,none,,accepted,True,0.9868960479895273,0.018867924528301886,0.047505938242280284,0.0
21-03,v2_blocking_risk_compact_payload,0,53,Nobel Europe backbone,light,guarded,53,random,random,1598,Dublin->Glasgow->Amsterdam->Hamburg,QPSK,318,320,3,1353.471,True,0.85,qot_safety:random(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,0.9947186509768168,0.018518518518518517,0.04728132387706856,0.0
21-03,v2_blocking_risk_compact_payload,0,54,Nobel Europe backbone,light,guarded,54,first_fit,first_fit|load_balancing|random,4800,,,-1,-1,0,0.0,False,0.0,,True,single_candidate,,rejected_by_agent,False,-0.15,0.03636363636363636,0.09029345372460497,0.0
21-03,v2_blocking_risk_compact_payload,0,55,Nobel Europe backbone,light,tight,55,first_fit,first_fit,354,Frankfurt->Hamburg->Berlin->Copenhagen->Oslo,QPSK,34,50,4,1445.6000000000001,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.0255389834443729,0.03571428571428571,0.08639308855291576,0.0
21-03,v2_blocking_risk_compact_payload,0,56,Nobel Europe backbone,light,tight,56,random,random,1675,Amsterdam->London->Paris->Lyon,BPSK,75,76,3,1065.255,True,0.85,qot_safety:random(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,0.9305235300663239,0.03508771929824561,0.08629989212513485,0.0
21-03,v2_blocking_risk_compact_payload,0,57,Nobel Europe backbone,light,tight,57,load_balancing,load_balancing,548,Dublin->London->Paris->Strasbourg->Zurich,QPSK,228,244,4,1344.735,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(high),True,none,,accepted,True,1.0289931340763967,0.034482758620689655,0.0827300930713547,0.0
21-03,v2_blocking_risk_compact_payload,0,58,Nobel Europe backbone,light,tight,58,first_fit,first_fit,399,Bordeaux->Paris->Brussels->Amsterdam->Hamburg->Berlin->Prague->Budapest,QPSK,79,95,7,2302.163,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,0.9418846959869067,0.03389830508474576,0.07944389275074479,0.0
21-03,v2_blocking_risk_compact_payload,0,59,Nobel Europe backbone,light,guarded,59,random,random,547,Rome->Milan->Zurich,QPSK,227,229,2,713.9960000000001,True,0.85,qot_safety:random(high) | fragmentation:first_fit(medium),False,none,,accepted,True,0.9638367474280918,0.03333333333333333,0.0791295746785361,0.0
21-03,v2_blocking_risk_compact_payload,0,60,Nobel Europe backbone,light,guarded,60,first_fit,first_fit,3,Hamburg->Berlin->Prague->Vienna,8QAM,3,6,3,763.326,True,0.6,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,0.9700699031352997,0.03278688524590164,0.07835455435847209,0.0
21-03,v2_blocking_risk_compact_payload,0,61,Nobel Europe backbone,light,guarded,61,first_fit,first_fit,0,Frankfurt->Brussels->Paris,8QAM,0,2,2,564.094,True,0.6,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,1.017515367269516,0.03225806451612903,0.07804878048780488,0.0
21-03,v2_blocking_risk_compact_payload,0,62,Nobel Europe backbone,light,guarded,62,load_balancing,load_balancing,3234,Bordeaux->Paris->Lyon->Zurich->Strasbourg->Frankfurt->Brussels,QPSK,34,38,6,1870.191,True,0.6,qot_safety:random(high) | fragmentation:random(high),True,none,,accepted,True,1.0121812442938487,0.031746031746031744,0.07729468599033816,0.0
21-03,v2_blocking_risk_compact_payload,0,63,Nobel Europe backbone,light,guarded,63,load_balancing,load_balancing,2406,Hamburg->Frankfurt->Munich->Berlin->Warsaw,QPSK,166,182,4,1681.877,True,0.6,qot_safety:first_fit(high) | fragmentation:load_balancing(high),True,none,,accepted,True,0.993525265964369,0.03125,0.07441860465116279,0.0
21-03,v2_blocking_risk_compact_payload,0,64,Nobel Europe backbone,light,guarded,64,random,random,2751,Frankfurt->Munich->Berlin->Copenhagen->Oslo->Stockholm,BPSK,191,195,5,2053.12,True,0.6,qot_safety:first_fit(high) | fragmentation:random(high),False,none,,accepted,True,0.9850987247827775,0.03076923076923077,0.07414272474513438,0.0
21-03,v2_blocking_risk_compact_payload,0,65,Nobel Europe backbone,light,guarded,65,random,random,3779,London->Paris->Brussels->Frankfurt->Strasbourg->Zurich->Milan->Rome,BPSK,259,260,7,1972.812,True,0.85,qot_safety:first_fit(high) | fragmentation:random(high),True,none,,accepted,True,0.9262349413040406,0.030303030303030304,0.07407407407407407,0.0
21-03,v2_blocking_risk_compact_payload,0,66,Nobel Europe backbone,light,guarded,66,random,random,1412,Athens->Belgrade->Zagreb->Vienna->Prague->Berlin->Copenhagen->Oslo,QPSK,132,134,7,2835.6820000000002,True,0.85,qot_safety:random(high) | fragmentation:first_fit(medium),True,none,,accepted,True,0.9711876307629669,0.029850746268656716,0.07380073800738007,0.0
21-03,v2_blocking_risk_compact_payload,0,67,Nobel Europe backbone,light,guarded,67,random,random,576,Athens->Rome->Milan->Zurich->Lyon,QPSK,256,258,4,2118.852,True,0.85,qot_safety:random(high) | fragmentation:first_fit(medium),True,none,,accepted,True,0.9891344290847579,0.029411764705882353,0.07352941176470588,0.0
21-03,v2_blocking_risk_compact_payload,0,68,Nobel Europe backbone,light,guarded,68,first_fit,first_fit,397,London->Paris->Strasbourg->Zurich->Milan,QPSK,77,93,4,1103.808,True,0.85,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,1.0615065759668747,0.028985507246376812,0.07092198581560284,0.0
21-03,v2_blocking_risk_compact_payload,0,69,Nobel Europe backbone,light,guarded,69,first_fit,first_fit,377,Dublin->London->Amsterdam->Hamburg->Berlin->Prague,QPSK,57,61,5,1692.54,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),False,none,,accepted,True,1.0059899310270946,0.02857142857142857,0.070298769771529,0.0
21-03,v2_blocking_risk_compact_payload,0,70,Nobel Europe backbone,light,guarded,70,first_fit,first_fit|load_balancing,359,Glasgow->Amsterdam->Brussels->Frankfurt->Strasbourg,QPSK,39,55,4,1371.865,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.0425598221520582,0.028169014084507043,0.06791171477079797,0.0
21-03,v2_blocking_risk_compact_payload,0,71,Nobel Europe backbone,light,guarded,71,load_balancing,load_balancing,2243,Amsterdam->Brussels->Paris->Lyon->Barcelona->Madrid,QPSK,3,4,5,1821.4430000000002,True,0.85,qot_safety:load_balancing(high) | fragmentation:random(medium),True,none,,accepted,True,0.9654383401075999,0.027777777777777776,0.06785411365564037,0.0
21-03,v2_blocking_risk_compact_payload,0,72,Nobel Europe backbone,light,guarded,72,first_fit,first_fit|load_balancing,343,Belgrade->Budapest->Warsaw->Stockholm,QPSK,23,27,3,1679.212,True,0.85,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.008693633476893,0.0273972602739726,0.0672834314550042,0.0
21-03,v2_blocking_risk_compact_payload,0,73,Nobel Europe backbone,light,guarded,73,load_balancing,load_balancing,4172,Bordeaux->Paris->Strasbourg->Frankfurt->Hamburg->Amsterdam->London,QPSK,12,16,6,2176.875,True,0.6,qot_safety:random(high) | fragmentation:random(high),True,none,,accepted,True,1.0109823326269785,0.02702702702702703,0.06672226855713094,0.0
21-03,v2_blocking_risk_compact_payload,0,74,Nobel Europe backbone,light,guarded,74,load_balancing,load_balancing,960,Amsterdam->Glasgow->Dublin,8QAM,0,3,2,963.3019999999999,True,0.6,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),False,none,,accepted,True,0.9893334984779358,0.02666666666666667,0.06617038875103391,0.0
21-03,v2_blocking_risk_compact_payload,0,75,Nobel Europe backbone,light,guarded,75,random,random,795,London->Amsterdam->Hamburg->Berlin->Warsaw,BPSK,155,159,4,1467.72,True,0.6,qot_safety:random(high) | fragmentation:first_fit(medium),False,none,,accepted,True,0.9733926584276682,0.02631578947368421,0.06595218466611706,0.0
21-03,v2_blocking_risk_compact_payload,0,76,Nobel Europe backbone,light,guarded,76,first_fit,first_fit,359,Bordeaux->Paris->Strasbourg,QPSK,39,55,2,873.5930000000001,True,0.95,qot_safety:first_fit(high) | fragmentation:random(medium),True,none,,accepted,True,1.0638461623961726,0.025974025974025976,0.06384676775738228,0.0
21-03,v2_blocking_risk_compact_payload,0,77,Nobel Europe backbone,light,guarded,77,first_fit,first_fit|load_balancing|random,4800,,,-1,-1,0,0.0,False,0.0,,True,single_candidate,,rejected_by_agent,False,-0.15,0.038461538461538464,0.09280742459396751,0.0
21-03,v2_blocking_risk_compact_payload,0,78,Nobel Europe backbone,light,tight,78,first_fit,first_fit,414,Lyon->Zurich->Strasbourg->Frankfurt->Hamburg->Berlin->Copenhagen->Oslo,QPSK,94,110,7,2145.17,True,0.6,qot_safety:first_fit(high) | fragmentation:load_balancing(medium),True,none,,accepted,True,0.9469226571420828,0.0379746835443038,0.0900225056264066,0.0
